id,text,polarity,subjectivity
e2b9dc08,BEST POPULAR OF THE MARKET UNTIL 2012,0.8,0.6
3b9dcf63,Great car at a low cost!,0.4,0.525
9f62a709,Great!,1,0.75
0e6c8d29,Fast and economical,0.25,0.75
3c958631,Honest car.,0.6,0.9
852a54b4,Compact but brave,0.8,1
dc686d42,Perfect value for money,1,1
f8a6d3f6,THE BEST OF THE CATEGORY. IN SEASON.,1,0.3
8cd5fbf4,"Indico, good value for money!",0.875,0.6
dc655dbb,popular reliable,0.6,0.9
54bc72dc,Honest car,0.6,0.9
7ba08042,best compact,1,0.3
5e6201ae,BEST COST X BENEFIT,1,0.3
4573aa7a,best cost benefit,1,0.3
7bd2eb85,Economic,0.2,0.2
b353ce0e,The best cost x benefit,1,0.3
b37f69c0,Great value for money,0.8,0.75
012ea5cf,achieves its goal,0,0
eb91ebb6,Celtic is excellent,1,1
e8ee433e,best car.,1,0.3
e8ff15e6,Compact with Chevrolet quality,0,0
d72e00d4,Great Car!,1,0.75
a2394ba9,Fulfills its role,0,0
59625757,"It was for years, the best 1.0 of Brazil",1,0.3
cf0c23e9,Very satisfied,0.65,1
977e41f7,Excellent cost x benefit,1,1
1a5c0f07,Celta 1.0 HCV 4p,0,0
ade11209,Great value for money.,0.8,0.75
5aa6f062,"Excellent urban car, economical and cheap maintenance. Recommended!",0.45,0.65
1244e307,Perfect Car,1,1
dcc76a23,Great for first car.,0.525,0.541666666666667
c8f966aa,Celtic the popular car,0.6,0.9
9e8bf07b,Honest Car - Fulfills What It Promises,0.6,0.9
91764233,"No break, great engine !!! Great!",1,0.75
956e2c54,Best first car in the world!,0.65625,0.316666666666667
8813f823,Excellent purchase,1,1
e8d856cd,Great car at cost benefit,0.8,0.75
2d242bec,Simplicity,0,0
db87682a,The best basic car of all,0.5,0.2125
fa99a893,Does not look like 1.0 with economy!,0,0
eb6da9a6,"Very Warrior, Urban Wagon Car",0.1,0.15
d2640e92,Cheap and reliable means of transportation.,0.4,0.7
8c18519c,The best 1.0 used,1,0.3
11c09657,car for beginners,0,0
ecd1c28a,Great cost benefit,0.8,0.75
b908cfdc,Popular reliable!,0.75,0.9
4b18b4f6,Very good,0.91,0.78
0f62838a,Great for anyone who wants a cheap first car,0.4125,0.470833333333333
24808419,Low maintenance cost,0,0.3
1e3e3435,It's a good car,0.7,0.6
b69dd579,Affordable purchase price,0,0
f4e3d42d,A good car but too noisy,0.7,0.6
757215ca,VERY GOOD CAR,0.91,0.78
0be56d7a,Worth the Price,0.3,0.1
f1bb7133,Great vehicle,0.8,0.75
be5a98e5,The cheap that comes out expensive,-0.05,0.7
1e3ea7e1,8 years more good than bad!,0.108333333333333,0.588888888888889
64809382,Medium car,0,0
b6fb0452,"BBB Good, Beautiful and Cheap",0.65,0.766666666666667
81b30293,Great car.,0.8,0.75
ddee923b,Warrior,0,0
be3f6ca1,Honest car of entry,0.6,0.9
0c10a045,"Worth it, but do not expect too much from it",0.25,0.15
dc1a45ff,Good and cheap car!,0.6,0.65
4958592b,The car!,0,0
e6bb5d64,Car bravery,0,0
09e9c39d,Good entry car,0.7,0.6
b62c23c1,Best car in economy issue.,1,0.3
e9e109a2,Car for those who do not have frills,0,0
50a8ca81,Popular ideal to be second car,0.5,0.633333333333333
bee28ab8,very good car,0.91,0.78
391b657d,Wonderful,1,1
b1eb78f6,Too good,0.7,0.6
37749367,Car for career start.,0,0
5cc7074a,GOOD!!!!!,1,0.6
0161a5fb,Popular even !!!!,1,0.9
18c9a951,More Vagabond is Impossible,-0.083333333333333,0.75
19b641b0,Competition is much better!,0.625,0.5
13206a55,A TYPICAL MODEL OF ENTRY,-0.166666666666667,0.5
3804a2f1,Best Sellers,1,0.3
43d43fa1,Good twig break,0.7,0.6
e855c427,Excellent car for day to day,1,1
30f87b5b,Simple and honest car,0.3,0.628571428571429
541c2bc9,Never Buy More !!!,0.9765625,0.5
cef791dd,A Fair Car,0.7,0.9
f003d038,Great Car!,1,0.75
f3fed9ca,1.0 brave,0.8,1
6f328c84,1.0 WITH FACE OF 1.4,0,0
a65ab3fe,Great first car,0.525,0.541666666666667
414b1456,The Cheapest Popular,0.6,0.9
bfda6f2a,drunkard,0,0
cc9a1a41,COMFORTABLE,0.4,0.8
a5fd5175,very good!!!,1,0.78
16bc8c7a,excellent entry car,1,1
85f81359,Great value for money,0.8,0.75
ebdf75aa,good car for who is as hard as me,0.204166666666667,0.570833333333333
9e3005d2,Excellent first car,0.625,0.666666666666667
ae1fb8fa,Opinions about my ship.,0,0
82bd6e60,Cost and Benefit,0,0
63e91171,THE BEST COST BENEFIT,1,0.3
8110680b,fragile car,0,0.5
acb09e62,Great car !!!,1,0.75
6ea77ceb,Great value for money between compact.,0.8,0.75
e744c9f6,Great for the city!,1,0.75
9f96a19b,Very fragile car.,0,0.65
774e18a4,MY FROM ZERO,0,0
c89dfe68,Indico !!,0,0
cd88cf12,Very good,0.91,0.78
088ea241,Pau for all work,0,0
0c0b99e3,"Car of entry, fulfills its function",0,0
acb3e80b,economic,0.2,0.2
